datetime,poa_irradiancia,vel_vento,ghi_irradiancia,gri_irradiancia,temperatura_painel,temperatura_ambiente
2024-11-01T03:03:04.974Z,-2.0799999237060547,4.1579999923706055,-2.259999990463257,-0.3799999952316284,17.799999237060547,19.5
2024-11-01T03:07:10.631Z,-1.8300000429153442,4.87399959564209,-2.1500000953674316,-0.17000000178813934,18,19.5
2024-11-01T03:11:16.696Z,-1.9700000286102295,4.970000267028809,-2.25,-0.36000001430511475,18,19.5
2024-11-01T03:15:22.976Z,-1.940000057220459,3.2699999809265137,-2.200000047683716,-0.33000001311302185,18,19.5
2024-11-01T03:19:29.021Z,-2.109999895095825,5.375999927520752,-2.5299999713897705,-0.4399999976158142,17.799999237060547,19.5
2024-11-01T03:23:34.657Z,-1.9299999475479126,4.25600004196167,-2.2699999809265137,-0.38999998569488525,17.799999237060547,19.299999237060547
2024-11-01T03:27:41.074Z,-2.2300000190734863,3.2899999618530273,-2.4100000858306885,-0.41999998688697815,17.799999237060547,19.5
2024-11-01T03:31:47.570Z,-2.0999999046325684,4.5839996337890625,-2.299999952316284,-0.38999998569488525,17.799999237060547,19.5
2024-11-01T03:35:53.222Z,-1.7599999904632568,3.5799999237060547,-1.9700000286102295,-0.12999999523162842,17.799999237060547,19.299999237060547
2024-11-01T03:39:59.309Z,-1.9299999475479126,3.7339999675750732,-2.440000057220459,-0.3199999928474426,17.5,19.299999237060547
2024-11-01T03:44:05.780Z,-2.130000114440918,4.564000129699707,-2.4800000190734863,-0.5199999809265137,17.5,19.299999237060547
2024-11-01T03:48:11.464Z,-1.7699999809265137,4.796000003814697,-2.009999990463257,-0.14000000059604645,17.5,19.299999237060547
2024-11-01T03:52:18.491Z,-2.059999942779541,2.864000082015991,-2.3299999237060547,-0.33000001311302185,17.5,19.299999237060547
2024-11-01T03:56:25.674Z,-2.2200000286102295,3.559999942779541,-2.5399999618530273,-0.47999998927116394,17.200000762939453,19
2024-11-01T04:00:31.620Z,-2.1600000858306885,2.864000082015991,-2.4200000762939453,-0.4099999964237213,17.200000762939453,19
2024-11-01T04:04:37.403Z,-2.2100000381469727,4.4679999351501465,-2.369999885559082,-0.44999998807907104,17.200000762939453,19
2024-11-01T04:08:43.213Z,-1.9700000286102295,4.661999702453613,-2.2100000381469727,-0.33000001311302185,17.200000762939453,19
2024-11-01T04:12:49.061Z,-1.7300000190734863,4.7779998779296875,-2.309999942779541,-0.1899999976158142,17.200000762939453,19
2024-11-01T04:16:55.247Z,-1.899999976158142,2.5759999752044678,-2.140000104904175,-0.30000001192092896,17,19
2024-11-01T04:21:01.639Z,-1.9500000476837158,4.044000148773193,-2.259999990463257,-0.3400000035762787,17.200000762939453,18.700000762939453
2024-11-01T04:25:07.496Z,-1.8799999952316284,3,-2.200000047683716,-0.3700000047683716,17,18.700000762939453
2024-11-01T04:29:14.678Z,-1.7000000476837158,4.661999702453613,-2.109999895095825,-0.2199999988079071,17.200000762939453,18.700000762939453
2024-11-01T04:33:20.291Z,-1.8700000047683716,3.8499999046325684,-2.3499999046325684,-0.28999999165534973,17,18.700000762939453
2024-11-01T04:37:26.404Z,-1.9600000381469727,1.899999976158142,-2.4200000762939453,-0.4000000059604645,17,18.700000762939453
2024-11-01T04:41:33.075Z,-1.8300000429153442,2.864000082015991,-2.490000009536743,-0.2800000011920929,16.700000762939453,18.5
2024-11-01T04:45:38.758Z,-1.6699999570846558,2.3239998817443848,-2.200000047683716,-0.2800000011920929,16.700000762939453,18.5
2024-11-01T04:49:44.528Z,-1.8600000143051147,3.2699999809265137,-2.130000114440918,-0.3100000023841858,17,18.5
2024-11-01T04:53:52.245Z,-1.6299999952316284,3.2699999809265137,-2,-0.25,16.700000762939453,18.700000762939453
2024-11-01T04:57:58.028Z,-1.5299999713897705,2.7880001068115234,-1.9600000381469727,-0.23999999463558197,16.700000762939453,18.700000762939453
2024-11-01T05:02:03.826Z,-1.5199999809265137,3.1540000438690186,-1.7000000476837158,-0.25,16.700000762939453,18.700000762939453
2024-11-01T05:06:10.248Z,-1.2000000476837158,2.864000082015991,-1.559999942779541,-0.14000000059604645,17,18.5
2024-11-01T05:10:15.875Z,-0.9200000166893005,3,-1.2899999618530273,-0.12999999523162842,17,18.5
2024-11-01T05:14:21.762Z,-1.2100000381469727,3.1540000438690186,-1.4600000381469727,-0.25,17.200000762939453,18.5
2024-11-01T05:18:28.678Z,-1.25,4.02400016784668,-1.6699999570846558,-0.23999999463558197,17,18.5
2024-11-01T05:22:34.514Z,-1.3600000143051147,2.4019999504089355,-1.809999942779541,-0.07000000029802322,17,18.5
2024-11-01T05:26:40.094Z,-1.4600000381469727,2.864000082015991,-1.7599999904632568,-0.3100000023841858,17,18.5
2024-11-01T05:30:47.162Z,-1.590000033378601,2.864000082015991,-1.7599999904632568,-0.5199999809265137,17,18.5
2024-11-01T05:34:52.975Z,-1.2400000095367432,2.7880001068115234,-1.559999942779541,-0.2800000011920929,17,18.5
2024-11-01T05:38:58.651Z,-1,2.130000114440918,-1.4900000095367432,-0.14000000059604645,16.700000762939453,18.5
2024-11-01T05:43:04.459Z,-1.3200000524520874,1.7060000896453857,-1.6200000047683716,-0.3400000035762787,16.700000762939453,18.200000762939453
2024-11-01T05:47:10.812Z,-1.2300000190734863,2.7880001068115234,-1.4900000095367432,-0.3799999952316284,16.700000762939453,18.200000762939453
2024-11-01T05:51:16.611Z,-1.1100000143051147,2.111999988555908,-1.25,-0.33000001311302185,16.700000762939453,18.200000762939453
